18:21:13.316 0 zb_scheduler.c:294	0x564fd561c728 scheduled alarm 0x564fd53f4f96, run_after 325, at 325, param 0
18:21:13.316 0 zb_scheduler.c:349	cur t 0, head t 130
18:21:13.316 0 nwk_cr_mesh_routing.c:147	schd pend expiry f 0
18:21:13.316 0 nwk_cr_mesh_routing.c:149	<< mesh_r_init
18:21:13.316 0 nwk_main.c:110	-nwk_init
18:21:13.316 0 aps_main.c:94	+zb_aps_init
18:21:13.316 0 aps_main.c:109	-zb_aps_init
18:21:13.316 0 af_descriptor.c:243	zb_set_default_ffd_descriptor_values
18:21:13.317 0 af_descriptor.c:85	node desc, server_mask 41 mac cap 0xa
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8000, cluster_number 0, input count 7
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8001, cluster_number 1, input count 7
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8002, cluster_number 2, input count 7
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8003, cluster_number 3, input count 7
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8004, cluster_number 4, input count 7
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8005, cluster_number 5, input count 7
18:21:13.317 0 af_descriptor.c:160	cluster_id 0x8006, cluster_number 6, input count 7
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x0, cluster_number 0, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x1, cluster_number 1, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x2, cluster_number 2, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x3, cluster_number 3, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x4, cluster_number 4, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x5, cluster_number 5, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x6, cluster_number 6, output count 8
18:21:13.317 0 af_descriptor.c:174	cluster_id 0x13, cluster_number 7, output count 8
18:21:13.317 0 zdo_app.c:131	ext pan id 0 - startup
18:21:13.317 0 zb_bufpool.c:141	=================
18:21:13.317 0 zb_bufpool.c:142	GET BUF 0x564fd561cb90
18:21:13.317 0 zb_bufpool.c:143	ref 3
18:21:13.317 0 zb_bufpool.c:144	allocated 0: 3
18:21:13.317 0 zb_bufpool.c:145	allocated 1: 1
18:21:13.317 0 zb_bufpool.c:146	=================
18:21:13.317 0 zb_scheduler.c:254	0x564fd561c400 scheduled cb 0x564fd53ec5dd param 3 (in_b 0)
18:21:13.317 0 zdo_app.c:199	return now
18:21:13.317 0 zb_scheduler.c:105	cb_q written 1, read_i 0, write_i 1
18:21:13.317 0 zb_scheduler.c:115	0x564fd561c400 calling cb 0x564fd53ec5dd param 3 in_b 0 len 0
18:21:13.317 0 nwk_cr_formation.c:71	>>nwk_formation_req 3
18:21:13.317 0 nwk_cr_formation.c:73	nwk state 0 joined 0
18:21:13.317 0 zb_scheduler.c:254	0x564fd561c410 scheduled cb 0x564fd540b906 param 3 (in_b 0)
18:21:13.317 0 nwk_cr_formation.c:127	<<nwk_formation_req
18:21:13.317 0 zb_scheduler.c:105	cb_q written 1, read_i 1, write_i 2
18:21:13.317 0 zb_scheduler.c:115	0x564fd561c410 calling cb 0x564fd540b906 param 3 in_b 0 len 0
18:21:13.317 0 mac_scan.c:104	>> zb_mlme_scan_request 3
18:21:13.317 0 zb_scheduler.c:254	0x564fd561c420 scheduled cb 0x564fd540b7e2 param 3 (in_b 0)
18:21:13.317 0 mac_scan.c:136	<< zb_mlme_scan_request
18:21:13.317 0 zb_scheduler.c:105	cb_q written 1, read_i 2, write_i 3
18:21:13.317 0 zb_scheduler.c:115	0x564fd561c420 calling cb 0x564fd540b7e2 param 3 in_b 0 len 0
18:21:13.318 0 mac_scan.c:67	>> zb_handle_scan_request
18:21:13.318 0 mac_scan.c:156	>> zb_mlme_ed_scan
18:21:13.318 0 zb_bufpool.c:376	zb_reuse_buf 0x564fd561cb90, ref 3, in buf 0 allocated in 0 out 1
18:21:13.318 0 zb_scheduler.c:254	0x564fd561c430 scheduled cb 0x564fd53ebbcb param 3 (in_b 0)
18:21:13.318 0 mac_scan.c:194	<< zb_mlme_ed_scan, ret 0
18:21:13.318 0 mac_scan.c:92	<< zb_handle_scan_request i
18:21:13.318 0 zb_scheduler.c:105	cb_q written 1, read_i 3, write_i 4
18:21:13.318 0 zb_scheduler.c:115	0x564fd561c430 calling cb 0x564fd53ebbcb param 3 in_b 0 len 0
18:21:13.318 0 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
18:21:13.318 0 nwk_discovery.c:356	nwk state 2
18:21:13.318 0 nwk_cr_formation.c:139	>>nwk_form_ed_scan_conf buf 0x564fd561cb90
18:21:13.318 0 nwk_cr_formation.c:151	ch 0 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 1 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 2 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 3 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 4 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 5 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 6 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 7 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 8 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 9 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 10 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 11 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 12 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 13 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 14 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:151	ch 15 e_level 0 
18:21:13.318 0 nwk_cr_formation.c:162	ch mask for as 0x1800
18:21:13.318 0 nwk_neighbor.c:80	>>exnb_start
18:21:13.318 0 nwk_neighbor.c:131	cut 16
18:21:13.318 0 nwk_neighbor.c:146	new base n size 16
18:21:13.318 0 nwk_neighbor.c:155	cut 208, off 208, ext n size 14 ext n 0x564fd561d8c8
18:21:13.318 0 nwk_neighbor.c:159	<<exnb_start
18:21:13.318 0 zb_scheduler.c:254	0x564fd561c440 scheduled cb 0x564fd540b906 param 3 (in_b 0)
18:21:13.318 0 nwk_cr_formation.c:180	<<nwk_form_ed_scan_conf
18:21:13.318 0 nwk_discovery.c:495	<<zb_mlme_scan_confirm
18:21:13.318 0 zb_scheduler.c:105	cb_q written 1, read_i 4, write_i 5
18:21:13.318 0 zb_scheduler.c:115	0x564fd561c440 calling cb 0x564fd540b906 param 3 in_b 0 len 0
18:21:13.318 0 mac_scan.c:104	>> zb_mlme_scan_request 3
18:21:13.318 0 zb_scheduler.c:254	0x564fd561c450 scheduled cb 0x564fd540b7e2 param 3 (in_b 0)
18:21:13.318 0 mac_scan.c:136	<< zb_mlme_scan_request
18:21:13.318 0 zb_scheduler.c:105	cb_q written 1, read_i 5, write_i 6
