18:21:21.406 0 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #1 buf 0x55568237a990 / 0 in_b 0 (size 11) is_w 1
18:21:21.406 0 zb_mac_transport_linux_pipes.c:182	t: start 1557933681; t 1557933681 406824, time 26
18:21:21.406 0 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
18:21:21.406 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:21.406 0 zb_mac_transport_linux_pipes.c:381	open wpipe /tmp/zt2.read. wait if nessesary
18:21:21.415 0 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
18:21:21.415 0 zb_mac_transport_linux_pipes.c:93	0B 03 08 19 FF FF FF FF 07 FB 4E 
18:21:21.415 0 zb_mac_transport_linux_pipes.c:446	out buffer is sent
18:21:21.415 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
18:21:21.415 0 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
18:21:21.415 0 mac_routines.c:272	<< zb_beacon_request_command ret 0
18:21:21.415 0 zb_scheduler.c:283	tm_freelist, get nent 0x55568237a728
18:21:21.415 0 zb_scheduler.c:294	0x55568237a728 scheduled alarm 0x55568216d081, run_after 257, at 257, param 0
18:21:21.415 0 zb_scheduler.c:349	cur t 0, head t 257
18:21:21.415 0 mac_scan.c:338	<< zb_mlme_scan_step
18:21:21.415 0 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:21.415 0 zb_mac_transport_linux_pipes.c:485	open rpipe 6. ret 0
18:21:21.415 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:21.415 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:21.415 0 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:21.415 0 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 0  tmo 257
18:21:21.415 0 zb_mac_transport_linux_pipes.c:529	select() timeout 3.932000
18:21:25.351 0 zb_mac_transport_linux_pipes.c:548	delta 3937 (257)
18:21:25.352 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 0
18:21:25.352 257 zb_mac_transport_linux_pipes.c:590	timeout
18:21:25.352 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:25.352 257 zb_scheduler.c:145	0x55568237a728 calling alarm cb 0x55568216d081 param 0
18:21:25.352 257 mac_scan.c:208	>> zb_mlme_scan_step
18:21:25.352 257 mac_scan.c:257	set channel 12
18:21:25.352 257 mac_routines.c:225	+zb_beacon_request_command
18:21:25.352 257 mac.c:578	>>mac_fill_mhr
18:21:25.352 257 mac.c:629	<<mac_fill_mhr
18:21:25.352 257 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x55568237a990
18:21:25.352 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #2 buf 0x55568237a990 / 0 in_b 0 (size 11) is_w 1
18:21:25.352 257 zb_mac_transport_linux_pipes.c:182	t: start 1557933681; t 1557933685 352555, time 284
18:21:25.352 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
18:21:25.352 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:25.352 257 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
18:21:25.352 257 zb_mac_transport_linux_pipes.c:93	0B 03 08 1A FF FF FF FF 07 86 42 
18:21:25.352 257 zb_mac_transport_linux_pipes.c:446	out buffer is sent
18:21:25.352 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
18:21:25.353 257 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
18:21:25.353 257 mac_routines.c:272	<< zb_beacon_request_command ret 0
18:21:25.353 257 zb_scheduler.c:283	tm_freelist, get nent 0x55568237a708
18:21:25.353 257 zb_scheduler.c:294	0x55568237a708 scheduled alarm 0x55568216d081, run_after 257, at 514, param 0
18:21:25.353 257 zb_scheduler.c:349	cur t 257, head t 514
18:21:25.353 257 mac_scan.c:338	<< zb_mlme_scan_step
18:21:25.353 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:25.353 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:25.353 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:25.353 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:25.353 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
18:21:25.353 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
18:21:25.360 257 zb_mac_transport_linux_pipes.c:548	delta 8 (0)
18:21:25.360 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 8
18:21:25.360 257 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
18:21:25.360 257 zb_mac_transport_linux_pipes.c:269	no buffer available, call mac to get incoming buffer
18:21:25.360 257 zb_mac_transport_linux_pipes.c:273	<<read_from_pipe 1
18:21:25.360 257 zb_mac_transport_linux_pipes.c:600	Schedule mac main loop 2
18:21:25.360 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 1
18:21:25.360 257 mac.c:325	zb_get_in_buf: zb_mac_main_loop
18:21:25.360 257 zb_bufpool.c:141	=================
18:21:25.360 257 zb_bufpool.c:142	GET BUF 0x55568237ac10
18:21:25.360 257 zb_bufpool.c:143	ref 4
18:21:25.360 257 zb_bufpool.c:144	allocated 0: 3
18:21:25.360 257 zb_bufpool.c:145	allocated 1: 2
18:21:25.361 257 zb_bufpool.c:146	=================
18:21:25.361 257 mac.c:182	>>zb_mac_recv_data
18:21:25.361 257 zb_mac_transport_linux_pipes.c:235	>>zb_mac_start_recv buf 0x55568237ac10
18:21:25.361 257 zb_mac_transport_linux_pipes.c:249	<<zb_mac_start_recv ret 0
18:21:25.361 257 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
18:21:25.361 257 zb_mac_transport_linux_pipes.c:79	read: len 1 total 2
18:21:25.361 257 zb_mac_transport_linux_pipes.c:93	1D 
18:21:25.361 257 zb_mac_transport_linux_pipes.c:79	read: len 28 total 29
18:21:25.361 257 zb_mac_transport_linux_pipes.c:86	00 80 FA F9 82 00 00 FF CF 00 00 00 21 84 00 00 
18:21:25.361 257 zb_mac_transport_linux_pipes.c:93	00 00 00 00 00 08 FF FF FF 00 47 17 
18:21:25.361 257 zb_mac_transport_linux_pipes.c:333	receive full buffer 4 len 29
18:21:25.361 257 zb_mac_transport_linux_pipes.c:356	<<read_from_pipe 29
18:21:25.361 257 mac.c:372	>>mac_parse_recv_dt
18:21:25.361 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #3 buf 0x55568237ac10 / 4 in_b 1 (size 38) is_w 0
18:21:25.361 257 zb_mac_transport_linux_pipes.c:182	t: start 1557933681; t 1557933685 361505, time 285
18:21:25.361 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
18:21:25.361 257 mac_common.c:79	>>zb_parse_mhr mhr 0x7fff1b089d40, ptr 0x55568237ac54
18:21:25.361 257 mac_common.c:89	dst addr mode: 0
18:21:25.361 257 mac_common.c:108	src addr mode: 2
18:21:25.361 257 mac_common.c:173	<< zb_parse_mhr, ret val 7
18:21:25.361 257 mac.c:390	frame_control 0:80, seq_number 250, dst_pan_id 0x0, src_pan_id 0x82f9 dst mode 0 addr 0.0.0.0.0.0.0.0 src mode 2 addr 0.0.0.0.0.0.0.0
18:21:25.361 257 mac.c:395	set mac rx , frm 0 len 37
18:21:25.361 257 mac.c:239	<<can_accept_fr, ret 1
18:21:25.361 257 mac.c:437	BEACON frame
18:21:25.361 257 zb_scheduler.c:254	0x55568237a420 scheduled cb 0x555682156ded param 4 (in_b 1)
18:21:25.361 257 mac.c:471	beacon found!
18:21:25.361 257 mac.c:498	<<mac_parse_recv_data 0
18:21:25.361 257 mac.c:205	<<zb_mac_recv_data
18:21:25.361 257 zb_scheduler.c:105	cb_q written 1, read_i 4, write_i 5
