10:22:20.894 0 zb_scheduler.c:254	0x561413aa2460 scheduled cb 0x5614138918f9 param 3 (in_b 0)
10:22:20.894 0 mac_scan.c:136	<< zb_mlme_scan_request
10:22:20.894 0 zb_scheduler.c:105	cb_q written 1, read_i 2, write_i 3
10:22:20.894 0 zb_scheduler.c:115	0x561413aa2460 calling cb 0x5614138918f9 param 3 in_b 0 len 0
10:22:20.894 0 mac_scan.c:67	>> zb_handle_scan_request
10:22:20.894 0 mac_scan.c:156	>> zb_mlme_ed_scan
10:22:20.894 0 zb_bufpool.c:376	zb_reuse_buf 0x561413aa2bd0, ref 3, in buf 0 allocated in 0 out 1
10:22:20.894 0 zb_scheduler.c:254	0x561413aa2470 scheduled cb 0x561413871ce2 param 3 (in_b 0)
10:22:20.894 0 mac_scan.c:194	<< zb_mlme_ed_scan, ret 0
10:22:20.894 0 mac_scan.c:92	<< zb_handle_scan_request i
10:22:20.894 0 zb_scheduler.c:105	cb_q written 1, read_i 3, write_i 4
10:22:20.894 0 zb_scheduler.c:115	0x561413aa2470 calling cb 0x561413871ce2 param 3 in_b 0 len 0
10:22:20.894 0 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
10:22:20.894 0 nwk_discovery.c:356	nwk state 2
10:22:20.894 0 nwk_cr_formation.c:139	>>nwk_form_ed_scan_conf buf 0x561413aa2bd0
10:22:20.894 0 nwk_cr_formation.c:151	ch 0 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 1 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 2 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 3 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 4 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 5 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 6 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 7 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 8 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 9 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 10 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 11 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 12 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 13 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 14 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:151	ch 15 e_level 0 
10:22:20.894 0 nwk_cr_formation.c:162	ch mask for as 0x1800
10:22:20.894 0 nwk_neighbor.c:80	>>exnb_start
10:22:20.894 0 nwk_neighbor.c:131	cut 16
10:22:20.894 0 nwk_neighbor.c:146	new base n size 16
10:22:20.894 0 nwk_neighbor.c:155	cut 208, off 208, ext n size 14 ext n 0x561413aa3908
10:22:20.894 0 nwk_neighbor.c:159	<<exnb_start
10:22:20.894 0 zb_scheduler.c:254	0x561413aa2480 scheduled cb 0x561413891a1d param 3 (in_b 0)
10:22:20.894 0 nwk_cr_formation.c:180	<<nwk_form_ed_scan_conf
10:22:20.894 0 nwk_discovery.c:495	<<zb_mlme_scan_confirm
10:22:20.894 0 zb_scheduler.c:105	cb_q written 1, read_i 4, write_i 5
10:22:20.894 0 zb_scheduler.c:115	0x561413aa2480 calling cb 0x561413891a1d param 3 in_b 0 len 0
10:22:20.894 0 mac_scan.c:104	>> zb_mlme_scan_request 3
10:22:20.894 0 zb_scheduler.c:254	0x561413aa2490 scheduled cb 0x5614138918f9 param 3 (in_b 0)
10:22:20.894 0 mac_scan.c:136	<< zb_mlme_scan_request
10:22:20.894 0 zb_scheduler.c:105	cb_q written 1, read_i 5, write_i 6
10:22:20.894 0 zb_scheduler.c:115	0x561413aa2490 calling cb 0x5614138918f9 param 3 in_b 0 len 0
10:22:20.894 0 mac_scan.c:67	>> zb_handle_scan_request
10:22:20.894 0 mac_scan.c:360	>> zb_mlme_active_scan
10:22:20.894 0 mac_scan.c:365	idle state, set beacon found == 0
10:22:20.894 0 mac_scan.c:372	set beacon mode ret 0, param channels 0x1800
10:22:20.894 0 mac_scan.c:385	chan mask 1800 0 , chan 11
10:22:20.894 0 zb_scheduler.c:254	0x561413aa24a0 scheduled cb 0x561413891d65 param 0 (in_b 255)
10:22:20.894 0 mac_scan.c:387	<< zb_mlme_active_scan, ret 0
10:22:20.894 0 mac_scan.c:92	<< zb_handle_scan_request i
10:22:20.894 0 zb_scheduler.c:105	cb_q written 1, read_i 6, write_i 7
10:22:20.894 0 zb_scheduler.c:115	0x561413aa24a0 calling cb 0x561413891d65 param 0 in_b 255 len -1
10:22:20.894 0 mac_scan.c:208	>> zb_mlme_scan_step
10:22:20.894 0 mac_scan.c:257	set channel 11
10:22:20.894 0 mac_routines.c:225	+zb_beacon_request_command
10:22:20.894 0 mac.c:578	>>mac_fill_mhr
10:22:20.894 0 mac.c:629	<<mac_fill_mhr
10:22:20.894 0 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x561413aa29f0
10:22:20.894 0 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #1 buf 0x561413aa29f0 / 0 in_b 0 (size 11) is_w 1
10:22:20.894 0 zb_mac_transport_linux_pipes.c:182	t: start 1558250540; t 1558250540 894594, time 58
10:22:20.894 0 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
10:22:20.894 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:20.894 0 zb_mac_transport_linux_pipes.c:381	open wpipe /tmp/zt0.read. wait if nessesary
10:22:20.894 0 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
10:22:20.894 0 zb_mac_transport_linux_pipes.c:93	0B 03 08 39 FF FF FF FF 07 9B CB 
10:22:20.894 0 zb_mac_transport_linux_pipes.c:446	out buffer is sent
10:22:20.894 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
10:22:20.894 0 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
10:22:20.894 0 mac_routines.c:272	<< zb_beacon_request_command ret 0
10:22:20.894 0 zb_scheduler.c:283	tm_freelist, get nent 0x561413aa2748
10:22:20.894 0 zb_scheduler.c:294	0x561413aa2748 scheduled alarm 0x561413891d65, run_after 257, at 257, param 0
10:22:20.894 0 zb_scheduler.c:349	cur t 0, head t 130
10:22:20.894 0 mac_scan.c:338	<< zb_mlme_scan_step
10:22:20.894 0 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
